商品名稱,新商品名稱,大分類,小分類,
15點換雙拼串燒,15點換雙拼串燒-,9其他,點數換贈品,
18點換雙拼串燒,18點換雙拼串燒-,9其他,點數換贈品,
20點換炒季節時蔬,20點換炒季節時蔬 ,9其他,點數換贈品,
20點換雙拼串燒,20點換雙拼串燒-,9其他,點數換贈品,
22點換炒季節時蔬,22點換炒季節時蔬-,9其他,點數換贈品,
22點換炸雞軟骨,22點換炸雞軟骨-,9其他,點數換贈品,
22點換綜合刺身/五切,22點換綜合刺身/五切-,9其他,點數換贈品,
25點換酥炸鰭邊骨,25點換酥炸鰭邊骨-,9其他,點數換贈品,
25點換燒霜鮭魚果醋,25點換燒霜鮭魚果醋-,9其他,點數換贈品,
25點換鹽烤鯖魚,25點換鹽烤鯖魚 ,9其他,點數換贈品,
30點換炸雞軟骨,30點換炸雞軟骨-,9其他,點數換贈品,
30點換綜合刺身,30點換綜合刺身-,9其他,點數換贈品,
30點換綜合刺身/五切,30點換綜合刺身/五切-,9其他,點數換贈品,
30點換燒霜鮭魚果醋,30點換燒霜鮭魚果醋-,9其他,點數換贈品,
30點換鱈魚肝果醋,30點換鱈魚肝果醋-,9其他,點數換贈品,
35點換日本清酒,35點換日本清酒-,9其他,點數換贈品,
35點換燒霜鮭魚果醋,35點換燒霜鮭魚果醋 ,9其他,點數換贈品,
35點換鹽烤中卷,35點換鹽烤中卷-,9其他,點數換贈品,
40點換酒蒸中卷,40點換酒蒸中卷-,9其他,點數換贈品,
10貫握壽司,10貫握壽司-,9其他,舊菜單,
20點換日本汽水,20點換日本汽水-,9其他,舊菜單,
299元喝到飽,299元喝到飽-,9其他,舊菜單,
40點換鹽烤一夜乾,40點換鹽烤一夜乾-,9其他,舊菜單,
6貫握壽司,6貫握壽司-,9其他,舊菜單,
一人防疫無菜單,一人防疫無菜單-,9其他,舊菜單,
一夜乾,一夜乾-,9其他,舊菜單,
一夜乾(吾仔魚),一夜乾(吾仔魚)-,9其他,舊菜單,
九州青甘下巴,九州青甘下巴-,9其他,舊菜單,
三千櫻/超軟水 純米吟釀/720ml,三千櫻/超軟水 純米吟釀/720ml-,9其他,舊菜單,
三角魚(時價),三角魚(時價)-,9其他,舊菜單,
大閘蟹,大閘蟹-,9其他,舊菜單,
小西冷榨300ml,小西冷榨300ml-,9其他,舊菜單,
山葵漬山藥,山葵漬山藥-,9其他,舊菜單,
干貝握/貫(大),干貝握/貫(大)-,9其他,舊菜單,
干貝握壽司/貫(小),干貝握壽司/貫(小)-,9其他,舊菜單,
干貝蟹膏/1串,干貝蟹膏/串-,9其他,舊菜單,
干貝蟹膏串/串,干貝蟹膏/串-,9其他,舊菜單,
干貝蟹膏/串,干貝蟹膏/串-,9其他,舊菜單,
中秋柚子,中秋柚子-,9其他,舊菜單,
午仔魚一夜干定食,午仔魚一夜干定食-,9其他,舊菜單,
手工胡麻豆腐/粒,手工胡麻豆腐/粒-,9其他,舊菜單,
手作酒肴(時價),手作酒肴(時價)-,9其他,舊菜單,
日本厚岸石蚵刺身(時價),日本厚岸石蚵刺身(時價)-,9其他,舊菜單,
日本厚岸石蚵壽司(時價),日本厚岸石蚵壽司(時價)-,9其他,舊菜單,
日本星鰻握/貫,日本星鰻握/貫-,9其他,舊菜單,
日本鰤魚握/貫,日本鰤魚握/貫-,9其他,舊菜單,
日式炸豬排,日式炸豬排-,9其他,舊菜單,
月山300ml,月山300ml-,9其他,舊菜單,
比目魚緣側握壽司/貫,比目魚緣側握壽司/貫-,9其他,舊菜單,
比目魚鮭魚卵蓋飯,比目魚鮭魚卵蓋飯-,9其他,舊菜單,
毛毛蟲壽司/本,毛毛蟲壽司/本-,9其他,舊菜單,
水果塔禮盒,水果塔禮盒-,9其他,舊菜單,
水蜜桃燒酒,水蜜桃燒酒-,9其他,舊菜單,
牛小排,牛小排-,9其他,舊菜單,
牛小排肉盤/250克,牛小排肉盤/250克-,9其他,舊菜單,
牛肉味噌湯,牛肉味噌湯-,9其他,舊菜單,
牛排蓋飯,牛排蓋飯-,9其他,舊菜單,
牛筋味增煮,牛筋味增煮-,9其他,舊菜單,
牛蒡手卷,牛蒡手卷-,9其他,舊菜單,
牛蒡炒豚肉,牛蒡炒豚肉-,9其他,舊菜單,
牛蒡蘋果手卷,牛蒡蘋果手卷-,9其他,舊菜單,
加茂錦/超軟水 無過濾吟釀/720ml,加茂錦/超軟水 無過濾吟釀/720ml-,9其他,舊菜單,
北海道干貝刺身/2粒,北海道干貝刺身/2粒-,9其他,舊菜單,
北海道干貝握/貫(小),北海道干貝握/貫(小)-,9其他,舊菜單,
北海道海膽握壽司/貫,北海道海膽握壽司/貫-,9其他,舊菜單,
北寄貝,北寄貝-,9其他,舊菜單,
半藏/神之穗 純米大吟釀/720ml,半藏/神之穗 純米大吟釀/720ml-,9其他,舊菜單,
奶油白菜,奶油白菜-,9其他,舊菜單,
奶油蛤蠣,奶油蛤蠣-,9其他,舊菜單,
布里沙拉,布里沙拉-,9其他,舊菜單,
本港紅甘刺身七切,本港紅甘刺身七切-,9其他,舊菜單,
本港鮪魚刺身/七切,本港鮪魚刺身/七切-,9其他,舊菜單,
玉子燒,玉子燒-,9其他,舊菜單,
玉極閣(大麥),玉極閣(大麥)-,9其他,舊菜單,
生牛肉,生牛肉-,9其他,舊菜單,
生鮮軟絲明太燒,生鮮軟絲明太燒-,9其他,舊菜單,
白子炒蒜苗,白子炒蒜苗-,9其他,舊菜單,
白貝薑汁,白貝薑汁-,9其他,舊菜單,
白蝦紹興漬,白蝦紹興漬-,9其他,舊菜單,
石狗公(時價),石狗公(時價)-,9其他,舊菜單,
石蚵唐揚,石蚵唐揚-,9其他,舊菜單,
石蚵唐揚/4顆,石蚵唐揚/4顆-,9其他,舊菜單,
石蟳,石蟳-,9其他,舊菜單,
冰卷/隻,冰卷/隻-,9其他,舊菜單,
羊肉串/串,羊肉串/串-,9其他,舊菜單,
老鼠斑(時價),老鼠斑(時價)-,9其他,舊菜單,
自漬鮭魚卵握/貫,自漬鮭魚卵握/貫-,9其他,舊菜單,
自製一夜干(時價),自製一夜干(時價)-,9其他,舊菜單,
冷讚岐烏龍麵,冷讚岐烏龍麵-,9其他,舊菜單,
杏鮑菇明太燒,杏鮑菇明太燒-,9其他,舊菜單,
杏鮑菇明太燒/2串,杏鮑菇明太燒/2串-,9其他,舊菜單,
杏鮑菇明太燒/串,杏鮑菇明太燒/串-,9其他,舊菜單,
沙丁魚握壽司/粒,沙丁魚握壽司/粒-,9其他,舊菜單,
牡丹蝦刺身/2隻,牡丹蝦刺身/2隻-,9其他,舊菜單,
牡丹蝦刺身/隻,牡丹蝦刺身/隻-,9其他,舊菜單,
豆皮壽司/5粒,豆皮壽司/5粒-,9其他,舊菜單,
豆皮壽司/五粒,豆皮壽司/五貫-,9其他,舊菜單,
豆皮壽司/五貫,豆皮壽司/五貫-,9其他,舊菜單,
防疫包,防疫包-,9其他,舊菜單,
刺身海鮮沙拉定食,刺身海鮮沙拉定食-,9其他,舊菜單,
味噌湯,味噌湯-,9其他,舊菜單,
味噌雞腿蓋飯,味噌雞腿蓋飯-,9其他,舊菜單,
味增雞腿蓋飯,味噌雞腿蓋飯-,9其他,舊菜單,
味增雞腿蓋飯定,味噌雞腿蓋飯定-,9其他,舊菜單,
和牛*3貫,和牛*3貫-,9其他,舊菜單,
和牛/貫,和牛/貫-,9其他,舊菜單,
和風洋蔥醋,和風洋蔥醋-,9其他,舊菜單,
和風雞唐揚,和風雞唐揚-,9其他,舊菜單,
季節時鮮一夜干定食,季節時鮮一夜干定食-,9其他,舊菜單,
季節鮮魚/時價,季節時鮮魚(時價)-,9其他,舊菜單,
明太子中卷燒定食,明太子中卷燒定食-,9其他,舊菜單,
明太子手羽/隻,明太子手羽/隻-,9其他,舊菜單,
明太子比目魚/星鰻蓋飯,明太子比目魚/星鰻蓋飯-,9其他,舊菜單,
明太子比目魚緣撤-星鰻蓋飯,明太子比目魚緣撤-星鰻蓋飯-,9其他,舊菜單,
明太子炒中卷,明太子炒中卷-,9其他,舊菜單,
明太子炒烏龍麵定食,明太子炒烏龍麵定食-,9其他,舊菜單,
明太子雞肉串/2串,明太子雞肉串/2串-,9其他,舊菜單,
明蝦天婦羅 隻,明蝦天婦羅 隻-,9其他,舊菜單,
明蝦天婦羅/隻,明蝦天婦羅 隻-,9其他,舊菜單,
明蝦天婦羅/2支,明蝦天婦羅/2支-,9其他,舊菜單,
明蝦天婦羅/2隻,明蝦天婦羅/2隻-,9其他,舊菜單,
松露鮭魚握/貫,松露鮭魚握/貫-,9其他,舊菜單,
油封干貝手卷,油封干貝手卷-,9其他,舊菜單,
油蔥角螺,油蔥角螺-,9其他,舊菜單,
法國白蘇維翁混賽美蓉-白標,法國白蘇維翁混賽美蓉-白標-,9其他,舊菜單,
法國粉紅氣泡酒,法國粉紅氣泡酒-,9其他,舊菜單,
波斯頓龍蝦,波斯頓龍蝦-,9其他,舊菜單,
炒烏龍麵,炒烏龍麵-,9其他,舊菜單,
炙焦糖鮭魚/2貫,炙焦糖鮭魚/2貫-,9其他,舊菜單,
炙焦糖鮭魚握/貫,炙焦糖鮭魚握/貫-,9其他,舊菜單,
炙燒鮭魚果醋,炙燒鮭魚果醋--,9其他,舊菜單,
炙鰈魚鰭邊手卷,炙鰈魚鰭邊手卷-,9其他,舊菜單,
玫瑰包,玫瑰包-,9其他,舊菜單,
玫瑰奶黃包,玫瑰奶黃包-,9其他,舊菜單,
玫瑰汽水,玫瑰汽水-,9其他,舊菜單,
玫瑰蜜茶,玫瑰蜜茶-,9其他,舊菜單,
空心菜,空心菜-,9其他,舊菜單,
芝蝦唐揚,芝蝦唐揚-,9其他,舊菜單,
芬達,芬達-,9其他,舊菜單,
花蟹,花蟹-,9其他,舊菜單,
金沙茭白筍/串,金沙茭白筍/串-,9其他,舊菜單,
金沙茭白筍串,金沙茭白筍串-,9其他,舊菜單,
金沙筊白筍,金沙筊白筍-,9其他,舊菜單,
金沙筊白筍/2串,金沙筊白筍/2串-,9其他,舊菜單,
金沙筊白筍/串,金沙筊白筍/串-,9其他,舊菜單,
金牌啤酒,金牌啤酒-,9其他,舊菜單,
金線魚,金線魚-,9其他,舊菜單,
阿根廷雪甘露馬爾貝紅酒,阿根廷雪甘露馬爾貝紅酒-,9其他,舊菜單,
青甘下巴,青甘下巴-,9其他,舊菜單,
青甘刺身 七切(時價),青甘刺身 七切(時價)-,9其他,舊菜單,
青甘握壽司/貫,青甘握壽司/貫-,9其他,舊菜單,
青衣,青衣-,9其他,舊菜單,
信州蘋果,信州蘋果-,9其他,舊菜單,
前菜/主食/強肴/串燒/豆腐/吸物,前菜/主食/強肴/串燒/豆腐/吸物-,9其他,舊菜單,
前菜/刺身/壽司/熟食1/熟食2/吸物,前菜/刺身/壽司/熟食1/熟食2/吸物-,9其他,舊菜單,
厚岸石蚵唐揚/4顆,厚岸石蚵唐揚/4顆-,9其他,舊菜單,
星鰻天婦羅定食,星鰻天婦羅定食-,9其他,舊菜單,
柚子汽水,柚子汽水-,9其他,舊菜單,
柚香豚肉串/串,柚香豚肉串/串-,9其他,舊菜單,
柚香雞腿/串,柚香雞腿/串-,9其他,舊菜單,
柚鹽雞肉串/2串,柚鹽雞肉串/2串-,9其他,舊菜單,
柚鹽雞腿/串,柚鹽雞腿/串-,9其他,舊菜單,
活中卷姿造,活中卷姿造-,9其他,舊菜單,
炸牛排定食,炸牛排定食-,9其他,舊菜單,
疣鯛西京燒,疣鯛西京燒-,9其他,舊菜單,
秋刀魚甘露煮,秋刀魚甘露煮-,9其他,舊菜單,
秋刀魚握壽司,秋刀魚握壽司-,9其他,舊菜單,
紅甘刺身 七切,紅甘刺身 七切-,9其他,舊菜單,
紅甘刺身,紅甘刺身-,9其他,舊菜單,
紅甘握壽司/貫,紅甘握壽司/貫-,9其他,舊菜單,
紅目鰱(時價),紅目鰱(時價)-,9其他,舊菜單,
紅喉(時價),紅喉(時價)-,9其他,舊菜單,
紅新娘,紅新娘-,9其他,舊菜單,
紅燒牛肉湯泡飯,紅燒牛肉湯泡飯-,9其他,舊菜單,
紅蟳,紅蟳-,9其他,舊菜單,
美國卡貝納蘇維翁紅酒,美國卡貝納蘇維翁紅酒-,9其他,舊菜單,
香魚(時價),香魚(時價)-,9其他,舊菜單,
香煎牛排定食,香煎牛排定食-,9其他,舊菜單,
凍明蝦,凍明蝦-,9其他,舊菜單,
剝皮魚西京燒,剝皮魚西京燒-,9其他,舊菜單,
振興券200元,振興券200元-,9其他,舊菜單,
振興券500元,振興券500元-,9其他,舊菜單,
時令,時令-,9其他,舊菜單,
時令海鮮寄世鍋(時價),時令海鮮寄世鍋(時價)-,9其他,舊菜單,
時鮮魚下巴(時價),時鮮魚下巴(時價)-,9其他,舊菜單,
桃膠水,桃膠水-,9其他,舊菜單,
桃膠竹蔗水(贈送),桃膠竹蔗水(贈送)-,9其他,舊菜單,
桃膠銀耳露,桃膠銀耳露-,9其他,舊菜單,
海大蝦,海大蝦-,9其他,舊菜單,
海膽手卷,海膽手卷-,9其他,舊菜單,
海膽手卷/支,海膽手卷-,9其他,舊菜單,
海膽握壽司/貫,海膽握壽司/貫-,9其他,舊菜單,
海鮮刺身沙拉,海鮮刺身沙拉-,9其他,舊菜單,
海鮮南瓜濃湯/碗,海鮮南瓜濃湯/碗-,9其他,舊菜單,
海鮮蓋飯,海鮮蓋飯-,9其他,舊菜單,
海蘆蝦,海蘆蝦-,9其他,舊菜單,
烏格魚/黑莿鯛,烏格魚/黑莿鯛-,9其他,舊菜單,
烏魚腱/串,烏魚腱/串-,9其他,舊菜單,
烤土雞翅/支,烤土雞翅/支-,9其他,舊菜單,
烤中卷,烤中卷-,9其他,舊菜單,
烤和牛牛小排,烤和牛牛小排-,9其他,舊菜單,
烤鯖魚定食,烤鯖魚定食-,9其他,舊菜單,
特製六吋刺身蛋糕,特製六吋刺身蛋糕-,9其他,舊菜單,
珠寶盒刺身蛋糕搭配生蠔,珠寶盒刺身蛋糕搭配生蠔-,9其他,舊菜單,
珠寶盒刺身蛋糕搭配氣泡清酒,珠寶盒刺身蛋糕搭配氣泡清酒-,9其他,舊菜單,
真澄80ml,真澄80ml-,9其他,舊菜單,
納豆小缽,納豆小缽-,9其他,舊菜單,
素飯糰,素飯糰-,9其他,舊菜單,
胭脂蝦刺身,胭脂蝦刺身-,9其他,舊菜單,
胭脂蝦刺身/1隻,胭脂蝦刺身/1隻-,9其他,舊菜單,
草莓汽水,草莓汽水-,9其他,舊菜單,
草莓燒酒,草莓燒酒-,9其他,舊菜單,
除夕內用,除夕內用-,9其他,舊菜單,
除夕外帶,除夕外帶-,9其他,舊菜單,
乾煎剝皮魚,乾煎剝皮魚-,9其他,舊菜單,
乾煎鮭魚排定食,乾煎鮭魚排定食-,9其他,舊菜單,
情人節蛋糕,情人節蛋糕-,9其他,舊菜單,
清燉牛肉湯/碗,清燉牛肉湯/碗-,9其他,舊菜單,
甜蝦刺身/2隻,甜蝦刺身/2隻-,9其他,舊菜單,
甜蝦刺身1隻,甜蝦刺身1隻-,9其他,舊菜單,
甜蘿蔓,甜蘿蔓-,9其他,舊菜單,
荸薺,荸薺-,9其他,舊菜單,
蛋奶素精進料理定食,蛋奶素精進料理定食-,9其他,舊菜單,
軟殼蟹唐揚,軟殼蟹唐揚-,9其他,舊菜單,
軟殼蟹壽司/本,軟殼蟹壽司/本-,9其他,舊菜單,
野生紅甘握/貫,野生紅甘握/貫-,9其他,舊菜單,
陶膳生牛肉,陶膳生牛肉-,9其他,舊菜單,
章魚漬,章魚漬-,9其他,舊菜單,
魚肉味噌湯,魚肉味噌湯-,9其他,舊菜單,
魚肉味噌湯/品,魚肉味噌湯-,9其他,舊菜單,
魚肉味噌湯/碗,魚肉味噌湯-,9其他,舊菜單,
魚頭火鍋,魚頭火鍋-,9其他,舊菜單,
魚頭味噌湯,魚頭味噌湯-,9其他,舊菜單,
魚頭味噌湯/品,魚頭味噌湯-,9其他,舊菜單,
魚頭味噌湯/碗,魚頭味噌湯-,9其他,舊菜單,
魚頭海鮮寄世鍋,魚頭海鮮寄世鍋-,9其他,舊菜單,
魚頭薑汁湯,魚頭薑汁湯-,9其他,舊菜單,
魚頭薑汁湯/品,魚頭薑汁湯-,9其他,舊菜單,
魚頭薑汁湯/碗,魚頭薑汁湯-,9其他,舊菜單,
麻辣舒肥雞胸肉(冷凍),麻辣舒肥雞胸肉(冷凍)-,9其他,舊菜單,
麻糬三姊妹/串,麻糬三姊妹/串-,9其他,舊菜單,
麻糬姊妹,麻糬姊妹-,9其他,舊菜單,
麻糬姊妹(招待),麻糬姊妹(招待)-,9其他,舊菜單,
椒鹽本港甜蝦,椒鹽本港甜蝦-,9其他,舊菜單,
無花果天婦羅/朵,無花果天婦羅/朵-,9其他,舊菜單,
無骨牛小排,無骨牛小排-,9其他,舊菜單,
萊姆 梅酒/200ml,萊姆 梅酒/200ml-,9其他,舊菜單,
蛤蠣味增湯,蛤蠣味增湯-,9其他,舊菜單,
蛤蠣精力湯,蛤蠣精力湯-,9其他,舊菜單,
蛤蠣薑汁湯,蛤蠣薑汁湯-,9其他,舊菜單,
酥炸紅尾冬,酥炸紅尾冬-,9其他,舊菜單,
黑喉,黑喉-,9其他,舊菜單,
黑蒜山藥雞湯(冷凍),黑蒜山藥雞湯(冷凍)-,9其他,舊菜單,
黑鮪魚下巴*2,黑鮪魚下巴*2-,9其他,舊菜單,
黑鮪魚松露海膽蓋飯,黑鮪魚松露海膽蓋飯-,9其他,舊菜單,
黑鮪魚海膽蟹肉大捲壽司,黑鮪魚海膽蟹肉大捲壽司-,9其他,舊菜單,
黑鮪魚醬漬蓋飯,黑鮪魚醬漬蓋飯-,9其他,舊菜單,
極上刺身盛合,極上刺身盛合-,9其他,舊菜單,
滑菇雞湯,滑菇雞湯-,9其他,舊菜單,
滑菇雞湯/碗,滑菇雞湯/碗-,9其他,舊菜單,
煙燻鯊魚,煙燻鯊魚-,9其他,舊菜單,
當日特上刺身時令(時價),當日特上刺身時令(時價)-,9其他,舊菜單,
節瓜串/串,節瓜串/串-,9其他,舊菜單,
經典六貫握壽司,經典六貫握壽司-,9其他,舊菜單,
葡萄牙伊美白酒,葡萄牙伊美白酒-,9其他,舊菜單,
葡萄燒酒,葡萄燒酒-,9其他,舊菜單,
達摩汽水,達摩汽水-,9其他,舊菜單,
嘗鮮酒餚四驚喜,嘗鮮酒餚四驚喜-,9其他,舊菜單,
滷花生,滷花生-,9其他,舊菜單,
滿月生蠔,滿月生蠔-,9其他,舊菜單,
滿滿鮭魚花松露蓋飯,滿滿鮭魚花松露蓋飯-,9其他,舊菜單,
精進料理,精進料理-,9其他,舊菜單,
精進料理定食,精進料理定食-,9其他,舊菜單,
綜合串燒/五串,綜合串燒/五串-,9其他,舊菜單,
綜合刺身,綜合刺身-,9其他,舊菜單,
綜合刺身七切,綜合刺身七切-,9其他,舊菜單,
豪邁鐵火蓋飯,豪邁鐵火蓋飯-,9其他,舊菜單,
魟魚翅地燒,魟魚翅地燒-,9其他,舊菜單,
鳳凰,鳳凰-,9其他,舊菜單,
膠原豬腳白湯,膠原豬腳白湯-,9其他,舊菜單,
蔬菜燉雞煲湯-附麵(冷凍),蔬菜燉雞煲湯-附麵(冷凍)-,9其他,舊菜單,
蝦卵手卷,蝦卵手卷-,9其他,舊菜單,
蝦卵手卷/支,蝦卵手卷/支-,9其他,舊菜單,
蝦蘆筍手卷,蝦蘆筍手卷-,9其他,舊菜單,
蝦蘆筍手卷/支,蝦蘆筍手卷/支-,9其他,舊菜單,
豬肉壽喜燒定,豬肉壽喜燒定-,9其他,舊菜單,
豬肉壽喜燒定食,豬肉壽喜燒定食-,9其他,舊菜單,
醉蝦,醉蝦-,9其他,舊菜單,
醉雞,醉雞-,9其他,舊菜單,
醉鯨/生酒 純米吟釀/720ml,醉鯨/生酒 純米吟釀/720ml-,9其他,舊菜單,
橄欖油/兩瓶,橄欖油/兩瓶-,9其他,舊菜單,
橄欖油/瓶,橄欖油/瓶-,9其他,舊菜單,
燒炙鮭魚果醋定食,燒炙鮭魚果醋定食-,9其他,舊菜單,
燒製鮭魚果醋,燒製鮭魚果醋-,9其他,舊菜單,
燒製鮭魚果醋定食,燒製鮭魚果醋定食-,9其他,舊菜單,
靜岡草莓汽水,靜岡草莓汽水-,9其他,舊菜單,
鮑魚,鮑魚-,9其他,舊菜單,
鮑魚和風沙拉,鮑魚和風沙拉-,9其他,舊菜單,
龍膽石斑,龍膽石斑-,9其他,舊菜單,
薑汁牛燒肉定食,薑汁牛燒肉定食-,9其他,舊菜單,
薑汁牛燒肉蓋飯定食,薑汁牛燒肉定食-,9其他,舊菜單,
薑汁豚肉,薑汁豚肉-,9其他,舊菜單,
薑汁蛤/碗,薑汁蛤/碗-,9其他,舊菜單,
薑汁雲蛤湯,薑汁雲蛤湯-,9其他,舊菜單,
薑汁豬肉,薑汁豬肉-,9其他,舊菜單,
薑味牛燒肉蓋飯,薑味牛燒肉蓋飯-,9其他,舊菜單,
薑味牛燒肉蓋飯定食,薑味牛燒肉蓋飯定食-,9其他,舊菜單,
霜降豚肉西京燒定食,霜降豚肉西京燒定食-,9其他,舊菜單,
霜降豚西京燒,霜降豚西京燒-,9其他,舊菜單,
鮪魚大腹七切,鮪魚大腹七切-,9其他,舊菜單,
鮪魚中腹七切,鮪魚中腹七切-,9其他,舊菜單,
鮪魚刺身 七切,鮪魚刺身 七切-,9其他,舊菜單,
鮪魚刺身/七切,鮪魚刺身/七切-,9其他,舊菜單,
鮪魚泥鰈魚翅蓋飯,鮪魚泥鰈魚翅蓋飯-,9其他,舊菜單,
鮪魚蔥手卷,鮪魚蔥手卷-,9其他,舊菜單,
鮪魚蔥軍艦/貫,鮪魚蔥軍艦/貫-,9其他,舊菜單,
鮪魚雙層蓋飯,鮪魚雙層蓋飯-,9其他,舊菜單,
鮭魚卵小缽,鮭魚卵小缽-,9其他,舊菜單,
鮭魚卵握壽司/貫,鮭魚卵握壽司/貫-,9其他,舊菜單,
鮭魚刺身 七切,鮭魚刺身 七切-,9其他,舊菜單,
鮭魚刺身,鮭魚刺身-,9其他,舊菜單,
鮭魚刺身/7切,鮭魚刺身/7切-,9其他,舊菜單,
鮭魚刺身/七切,鮭魚刺身/七切-,9其他,舊菜單,
鮭魚刺身七切,鮭魚刺身七切-,9其他,舊菜單,
鮭魚握壽司/粒,鮭魚握壽司/粒-,9其他,舊菜單,
鮭魚飯糰,鮭魚飯糰-,9其他,舊菜單,
鮭魚飯糰/1粒,鮭魚飯糰/1粒-,9其他,舊菜單,
鮭魚親子蓋飯,鮭魚親子蓋飯-,9其他,舊菜單,
鮮魚五穀粥(冷凍),鮮魚五穀粥(冷凍)-,9其他,舊菜單,
鮮筍竹笙雞湯(冷凍),鮮筍竹笙雞湯(冷凍)-,9其他,舊菜單,
藏元 柚子酒/200ml,藏元 柚子酒/200ml-,9其他,舊菜單,
蟳蟹火鍋,蟳蟹火鍋-,9其他,舊菜單,
醬漬鮭魚卵握壽司/貫,醬漬鮭魚卵握壽司/貫-,9其他,舊菜單,
醬燒黑鮪魚肚蓋飯,醬燒黑鮪魚肚蓋飯-,9其他,舊菜單,
雙拼主廚特餐,雙拼主廚特餐(冷台/熱台)-,9其他,舊菜單,
雞肉火鍋,雞肉火鍋-,9其他,舊菜單,
雞肉親子蓋飯,雞肉親子蓋飯-,9其他,舊菜單,
雞軟骨,雞軟骨-,9其他,舊菜單,
鯊魚肉炒,鯊魚肉炒-,9其他,舊菜單,
麒麟啤酒,麒麟啤酒-,9其他,舊菜單,
蘆筍手卷,蘆筍手卷-,9其他,舊菜單,
鰈魚翅星鰻蓋飯,鰈魚翅星鰻蓋飯-,9其他,舊菜單,
櫻花可樂,櫻花可樂-,9其他,舊菜單,
鐵火蓋飯,鐵火蓋飯-,9其他,舊菜單,
鐵幹甕士(甘藷),鐵幹甕士(甘藷)-,9其他,舊菜單,
鱈魚白子握/貫,鱈魚白子握/貫-,9其他,舊菜單,
驚喜味噌湯,驚喜味噌湯-,9其他,舊菜單,
驚喜酒餚,驚喜酒餚-,9其他,舊菜單,
鹽烤土雞翅/1支,鹽烤土雞翅/1支-,9其他,舊菜單,
鹽烤青雞魚,鹽烤青雞魚-,9其他,舊菜單,
鹽烤挪威鯖魚,鹽烤挪威鯖魚-,9其他,舊菜單,
鹽烤海大蝦,鹽烤海大蝦-,9其他,舊菜單,
鹽烤野生紅喉,鹽烤野生紅喉-,9其他,舊菜單,
鹽烤雞肉串/串,鹽烤雞肉串/串-,9其他,舊菜單,
讚歧烏龍麵,讚歧烏龍麵-,9其他,舊菜單,
PSB散壽司,PSB散壽司-,9其他,舊菜單,
雪梅 純米吟釀,雪梅 純米吟釀-,6酒水,東洋酒,
七賢 天鵞絨 純米吟釀,七賢 天鵞絨 純米吟釀-,6酒水,東洋酒,
狹山 紅茶梅酒/200ml,狹山 紅茶梅酒/200ml-,6酒水,東洋酒,
醉鯨 吟麗 純米吟釀 300ml,醉鯨 吟麗 純米吟釀 300ml-,6酒水,東洋酒,
雪梅買一送一（熱）,雪梅買一送一（熱）-,6酒水,東洋酒,
原味燒酒,原味燒酒-,6酒水,東洋酒,
雪梅買一送一（冰）,雪梅買一送一（冰）-,6酒水,東洋酒,
醉鯨 TENT HOUSE,醉鯨 TENT HOUSE-,6酒水,東洋酒,
泉姬 柚子果實酒,泉姬 柚子果實酒-,6酒水,東洋酒,
真澄 白妙純米吟釀,真澄 白妙純米吟釀-,6酒水,東洋酒,
清酒（單杯）,清酒（單杯）-,6酒水,東洋酒,
山丹 正宗 本釀造 300ml,山丹 正宗 本釀造 300ml-,6酒水,東洋酒,
葡萄牙 奧薇達酒莊 羅雷洛 白酒,葡萄牙 奧薇達酒莊 羅雷洛 白酒-,6酒水,東洋酒,
養樂多燒酒,養樂多燒酒-,6酒水,東洋酒,
山丹 正宗 本釀造 720ml,山丹 正宗 本釀造 720ml-,6酒水,東洋酒,
七賢 風凜美山 純米酒,七賢 風凜美山 純米酒-,6酒水,東洋酒,
醉鯨 純米大吟釀 高育 秋,醉鯨 純米大吟釀 高育 秋-,6酒水,東洋酒,
黑霧島(甘藷),黑霧島(甘藷)-,6酒水,東洋酒,
天孫降臨(蕃薯),天孫降臨(蕃薯)-,6酒水,東洋酒,
真澄 Miyasaka 美山錦 純米吟釀,真澄 Miyasaka 美山錦 純米吟釀-,6酒水,東洋酒,
醉鯨 吟麗 純米吟釀 720ml,醉鯨 吟麗 純米吟釀 720ml-,6酒水,東洋酒,
大盃 MACHO 山田錦,大盃 MACHO 山田錦-,6酒水,東洋酒,
龜泉 純米吟釀 CEL24 生酒,龜泉 純米吟釀 CEL24 生酒-,6酒水,東洋酒,
七賢 風凜美山 純米酒300ml,七賢 風凜美山 純米酒300ml-,6酒水,東洋酒,
手取川 山廢無濾過純米生原酒(720ml),手取川 山廢無濾過純米生原酒(720ml)-,6酒水,東洋酒,
智利 珍藏卡本內 紅酒,智利 珍藏卡本內 紅酒-,6酒水,東洋酒,
風之森 純米 ALPHA TYPE1 720ml,風之森 純米 ALPHA TYPE1 720ml-,6酒水,東洋酒,
真澄 山花 純米大吟釀,真澄 山花 純米大吟釀-,6酒水,東洋酒,
風之森 Origin 氣泡清酒 500ml,風之森 Origin 氣泡清酒 500ml-,6酒水,東洋酒,
龜泉 純米吟釀 吟麓,龜泉 純米吟釀 吟麓-,6酒水,東洋酒,
醴泉 無風 純米酒,醴泉 無風 純米酒-,6酒水,東洋酒,
鳳凰美田 Anniversary 2024,鳳凰美田 Anniversary 2024-,6酒水,東洋酒,
廣戶川 特別純米,廣戶川 特別純米-,6酒水,東洋酒,
宮泉 純米酒,宮泉 純米酒-,6酒水,東洋酒,
